"","UNQ_NO","Search.Query"
"3895",3895,"대전 거기시켜 덮밥&간식"
"3955",3955,"대전 깐부치킨"
"3964",3964,"대전 남선반점"
"3976",3976,"대전 놀숲"
"3998",3998,"대전 더벤티"
"4021",4021,"대전 동원참치"
"4039",4039,"대전 떡볶이참잘하는집 떡참"
"4044",4044,"대전 라공방"
"4051",4051,"대전 라와마라탕"
"4053",4053,"대전 라화쿵부"
"4059",4059,"대전 리김밥"
"4063",4063,"대전 리춘시장"
"4066",4066,"대전 마라공방"
"4088",4088,"대전 먼슬리키친"
"4097",4097,"대전 명동칼국수"
"4101",4101,"대전 명인만두"
"4102",4102,"대전 명품키친"
"4109",4109,"대전 무쏘"
"4136",4136,"대전 밥풀릭스"
"4144",4144,"대전 백순대본가새맛"
"4150",4150,"대전 버거리"
"4152",4152,"대전 버거앤프라이즈"
"4165",4165,"대전 본가"
"4167",4167,"대전 본래순대"
"4172",4172,"대전 봉구스밥버거"
"4180",4180,"대전 북창동순두부"
"4185",4185,"대전 브라이트스타"
"4208",4208,"대전 새마을식당"
"4229",4229,"대전 소공동뚝배기집"
"4246",4246,"대전 순대실록"
"4260",4260,"대전 신룽푸마라탕"
"4263",4263,"대전 신의주찹쌀순대"
"4270",4270,"대전 쌀통닭"
"4289",4289,"대전 애슐리퀸즈"
"4299",4299,"대전 에머이"
"4310",4310,"대전 오구본가"
"4317",4317,"대전 오목집"
"4359",4359,"대전 유미카츠"
"4378",4378,"대전 이차돌"
"4381",4381,"대전 인기명"
"4383",4383,"대전 인생닭강정"
"4392",4392,"대전 자마버거"
"4404",4404,"대전 제주은희네해장국"
"4405",4405,"대전 제줏간"
"4410",4410,"대전 종점식당"
"4415",4415,"대전 중화가정"
"4419",4419,"대전 지코바치킨"
"4431",4431,"대전 찬란한아구"
"4437",4437,"대전 처갓집양념치킨"
"4438",4438,"대전 천호용궁알탕"
"4440",4440,"대전 청기와타운"
"4448",4448,"대전 청춘닭꼬치"
"4460",4460,"대전 치킨마루"
"4476",4476,"대전 커피온리"
"4485",4485,"대전 콩카페"
"4506",4506,"대전 탕화쿵푸마라탕"
"4507",4507,"대전 태리로제떡볶이&닭강정"
"4510",4510,"대전 테그43"
"4515",4515,"대전 토마토도시락"
"4517",4517,"대전 투고샐러드"
"4518",4518,"대전 투다리"
"4540",4540,"대전 포아이니"
"4550",4550,"대전 플라잉볼"
"4567",4567,"대전 피제이피자"
"4568",4568,"대전 하남돼지집"
"4578",4578,"대전 한사리감자탕&뼈구이"
"4590",4590,"대전 해장쿡"
"4607",4607,"대전 홍대쌀국수"
"4614",4614,"대전 화로상회"
"4634",4634,"울산 리미니"
"4638",4638,"울산 키친엑스"
"4652",4652,"울산 가나점보돈까스"
"4658",4658,"울산 감탄떡볶이"
"4661",4661,"울산 강남면옥"
"4672",4672,"울산 경양카츠"
"4682",4682,"울산 고메스테이크"
"4686",4686,"울산 고피자"
"4688",4688,"울산 곤트란쉐리에"
"4692",4692,"울산 공차"
"4707",4707,"울산 굽네치킨"
"4721",4721,"울산 김복남맥주"
"4723",4723,"울산 김사부의 곱창명가"
"4731",4731,"울산 난바우동"
"4746",4746,"울산 놀부보쌈&부대찌개"
"4753",4753,"울산 닥엔돈스"
"4756",4756,"울산 달래해장"
"4757",4757,"울산 달링스테이크"
"4761",4761,"울산 담꾹"
"4764",4764,"울산 대동집"
"4789",4789,"울산 동대문엽기떡볶이"
"4804",4804,"울산 디저트40"
"4805",4805,"울산 디초콜릿커피"
"4809",4809,"울산 떡군이네 떡볶이"
"4816",4816,"울산 라그릴리아"
"4829",4829,"울산 르번미"
"4831",4831,"울산 리나스"
"4857",4857,"울산 매화반점"
"4867",4867,"울산 명가통닭"
"4869",4869,"울산 명동할머니국수"
"4870",4870,"울산 명랑시대쌀핫도그"
"4878",4878,"울산 무국적식탁"
"4886",4886,"울산 미스터보쌈5378"
"4887",4887,"울산 미스터보쌈5379"
"4895",4895,"울산 바나프레소"
"4898",4898,"울산 바른치킨"
"4934",4934,"울산 보배반점"
"4939",4939,"울산 본설렁탕"
"4943",4943,"울산 봉구스밥버거"
"4952",4952,"울산 북촌손만두"
"4953",4953,"울산 불고기브라더스"
"4955",4955,"울산 브라운돈까스"
"4956",4956,"울산 브라이트스타"
"4957",4957,"울산 브롱스"
"4962",4962,"울산 빅스타피자"
"5002",5002,"울산 소노야"
"5045",5045,"울산 아딸"
"5052",5052,"울산 아우어베이커리"
"5054",5054,"울산 아이스걸크림보이"
"5130",5130,"울산 유미카츠"
"5136",5136,"울산 육첩반상"
"5143",5143,"울산 이나닭강정"
"5163",5163,"울산 자마버거"
"5164",5164,"울산 자연별곡"
"5185",5185,"울산 중앙반점"
"5197",5197,"울산 짬뽕지존"
"5204",5204,"울산 참이맛감자탕"
"5227",5227,"울산 치어스"
"5249",5249,"울산 컬투치킨"
"5272",5272,"울산 타코비"
"5299",5299,"울산 파파이스"
"5301",5301,"울산 팔각도"
"5303",5303,"울산 팔당냉면"
"5309",5309,"울산 포베이"
"5317",5317,"울산 프랑킨숯불양념구이치킨"
"5330",5330,"울산 피자스톰"
"5331",5331,"울산 피자알볼로"
"5337",5337,"울산 피자헤븐"
"5354",5354,"울산 한옥집"
"5355",5355,"울산 한와담"
"5372",5372,"울산 호치킨"
"5374",5374,"울산 호호반점"
"5393",5393,"울산 훅트포케"
"5400",5400,"세종 롯데리아"
"5428",5428,"세종 감성커피"
"5430",5430,"세종 감탄계 숯불치킨"
"5437",5437,"세종 거기시켜 덮밥&간식"
"5440",5440,"세종 경성술집"
"5447",5447,"세종 계절밥상"
"5479",5479,"세종 귀한족발"
"5480",5480,"세종 그램그램"
"5487",5487,"세종 기영이 숯불두마리치킨"
"5502",5502,"세종 난바우동"
"5505",5505,"세종 남도분식"
"5507",5507,"세종 남영동양문"
"5512",5512,"세종 네네치킨"
"5566",5566,"세종 돼지게티"
"5572",5572,"세종 드롭탑"
"5580",5580,"세종 떡군이네 떡볶이"
"5591",5591,"세종 라밥"
"5602",5602,"세종 리나스"
"5615",5615,"세종 마왕족발"
"5622",5622,"세종 맘스터치"
"5627",5627,"세종 매운국물떡볶이 밀방떡"
"5629",5629,"세종 맥주아비"
"5630",5630,"세종 먼슬리키친"
"5637",5637,"세종 멘부리"
"5642",5642,"세종 명륜진사갈비"
"5645",5645,"세종 모랑해물솥밥"
"5646",5646,"세종 모스버거"
"5650",5650,"세종 무모한초밥"
"5652",5652,"세종 미니스톱"
"5656",5656,"세종 미스사이공"
"5660",5660,"세종 미스터피자"
"5661",5661,"세종 미아리우동집"
"5667",5667,"세종 바다수퍼해물천하조개구이"
"5693",5693,"세종 버거비"
"5694",5694,"세종 버거앤프라이즈"
"5695",5695,"세종 버거킹"
"5705",5705,"세종 보배반점"
"5716",5716,"세종 봉추찜닭"
"5755",5755,"세종 샐러리아"
"5781",5781,"세종 숑숑돈까스"
"5789",5789,"세종 순살만공격"
"5793",5793,"세종 스노우폭스"
"5817",5817,"세종 아라치"
"5819",5819,"세종 아비꼬"
"5825",5825,"세종 아이스걸크림보이"
"5835",5835,"세종 양산도"
"5854",5854,"세종 오늘통닭"
"5863",5863,"세종 오븐마루치킨"
"5871",5871,"세종 온가솥밥"
"5883",5883,"세종 요거프레소"
"5891",5891,"세종 우리반점"
"5899",5899,"세종 유가네닭갈비"
"5916",5916,"세종 이디야커피"
"5917",5917,"세종 이름없는파스타"
"5923",5923,"세종 인기명"
"5939",5939,"세종 점심시간"
"5946",5946,"세종 제주은희네해장국"
"5951",5951,"세종 종로김밥"
"5977",5977,"세종 채선당"
"5980",5980,"세종 천호용궁알탕"
"5985",5985,"세종 청년떡볶이"
"5993",5993,"세종 초장집"
"6011",6011,"세종 카페보니또"
"6014",6014,"세종 커피니"
"6015",6015,"세종 커피베이"
"6036",6036,"세종 큰맘할매순대국"
"6038",6038,"세종 킹부대찌개"
"6040",6040,"세종 킹콩부대찌개"
"6049",6049,"세종 태리로제떡볶이&닭강정"
"6055",6055,"세종 토리키치"
